Call_ID_38	Chr	Start	Gene	Region	Ref_Units	Mean_Units	Med_Units	Min_Units	Max_Units	SD	EE50	EE100	Instability_Rating
1.151838219	chr1	151838219	C2CD4D	exonic	4	5	5	0	14	0.3125	0	0	0.0025
1.153261011	chr1	153261011	LORICRIN	exonic	10	11	11	1	60	2.0735	6	0	0.6145
1.153261131	chr1	153261131	LORICRIN	exonic	5	8	6	0	54	9.448	17	0	0.4915
1.153261387	chr1	153261387	LORICRIN	exonic	4	18	34	0	68	17.1265	3236	0	0.9885
1.153261485	chr1	153261485	LORICRIN	exonic	5	16	22	0	70	15.689	1603	0	0.834
1.153261640	chr1	153261640	LORICRIN	exonic	6	8	7	0	62	8.337	287	0	0.5025
1.153261784	chr1	153261784	LORICRIN	exonic	4	8	5	3	67	13.257	1058	0	0.068
1.153922774	chr1	153922774	GATAD2B	UTR5	5	6	6	0	53	2.9835	8	0	0.0385
1.153922922	chr1	153922922	GATAD2B	UTR5	11	12	12	0	58	1.931	4	0	0.036
1.15410067	chr1	15410067	EFHD2	exonic	7	8	8	1	10	0.5055	0	0	0.0035
1.154221002	chr1	154221002	UBAP2L	UTR5	7	8	8	0	25	0.4785	0	0	0.005
1.154328777	chr1	154328777	ATP8B2	intronic	5	6	6	0	8	0.1975	0	0	0.001
1.154501838	chr1	154501838	SHE	exonic	5	6	6	0	49	0.4705	0	0	0.003
1.154558615	chr1	154558615	UBE2Q1	UTR5	11	11	11	0	61	3.671	25	0	0.2165
1.155017550	chr1	155017550	ZBTB7B	UTR3	6	8	8	1	47	0.4615	0	0	0.0025
1.155078918	chr1	155078918	EFNA3	UTR5	5	6	6	0	33	0.527	0	0	0.0215
1.155081930	chr1	155081930	EFNA3	intronic	5	6	6	6	15	0.0735	0	0	0
1.155273471	chr1	155273471	CLK2	UTR5	4	5	5	5	10	0.037	0	0	0
1.155562416	chr1	155562416	ASH1L-AS1	ncRNA	9	10	10	3	29	0.8595	0	0	0.0125
1.155562457	chr1	155562457	ASH1L-AS1	ncRNA	5	6	6	3	18	0.2725	0	0	0.009
1.155562868	chr1	155562868	ASH1L-AS1	ncRNA	9	12	11	0	55	5.9715	24	0	0.941
1.155688320	chr1	155688320	YY1AP1	exonic	5	6	6	3	15	0.169	0	0	0.001
1.156053702	chr1	156053702	UBQLN4	UTR5	3	4	4	0	45	1.348	0	0	0.0105
1.156081746	chr1	156081746	MEX3A	exonic	4	4	5	2	13	0.2115	0	0	0.503
1.156282763	chr1	156282763	SMG5	UTR5	5	6	6	1	24	0.5005	0	0	0.0485
1.156388569	chr1	156388569	RHBG->MIR9-1HG	intergenic	4	5	5	0	20	0.2455	0	0	0.0015
1.156420471	chr1	156420471	MIR9-1HG	ncRNA	4	5	5	1	34	0.188	0	0	0.001
1.15684300	chr1	15684300	PLEKHM2	upstream	5	6	6	0	55	0.9785	2	0	0.008
1.15684512	chr1	15684512	PLEKHM2	UTR5	11	12	12	0	45	1.7055	0	0	0.401
1.158177774	chr1	158177774	CD1D	upstream	3	11	24	0	54	11.936	4	0	0.9885
1.15847934	chr1	15847934	FLJ37453	ncRNA	15	16	16	7	22	0.185	0	0	0.005
1.159854855	chr1	159854855	VSIG8	exonic	4	5	5	0	7	0.0985	0	0	0.001
1.159927418	chr1	159927418	IGSF9	exonic	3	4	4	4	5	0.0225	0	0	5e-04
1.159929654	chr1	159929654	IGSF9	exonic	4	5	5	1	12	0.0965	0	0	0.0015
1.1599534	chr1	1599534	FNDC10	exonic	4	5	5	0	52	1.264	1	0	0.0045
1.1600168	chr1	1600168	LOC105378586	ncRNA	5	6	6	0	50	1.0455	2	0	0.019
1.160205402	chr1	160205402	LOC729867	ncRNA	12	14	14	0	60	1.3755	2	0	0.5055
1.161132639	chr1	161132639	DEDD	UTR5	9	10	10	0	38	0.6955	0	0	0.0225
1.16155862	chr1	16155862	EPHA2	exonic	4	5	5	0	13	0.2585	0	0	0.0025
1.16352430	chr1	16352430	FBXO42	UTR5	4	5	5	0	15	0.1675	0	0	0.0015
1.164321454	chr1	164321454	LOC100422212->PBX1	intergenic	4	5	5	0	24	0.2585	0	0	0.0065
1.164792605	chr1	164792605	PBX1	exonic	9	10	10	7	14	0.087	0	0	0.002
1.165445153	chr1	165445153	RXRG	UTR5	7	8	8	5	12	0.371	0	0	0.062
1.1658919	chr1	1658919	CDK11B	UTR5	10	11	11	4	16	0.2755	0	0	0.0045
1.166166627	chr1	166166627	FAM78B	UTR5	5	6	6	1	18	0.242	0	0	0.0035
1.166166712	chr1	166166712	FAM78B	UTR5	6	7	7	0	55	1.764	6	0	0.0245
1.166166809	chr1	166166809	FAM78B	UTR5	9	10	10	0	35	1.094	0	0	0.012
1.166839618	chr1	166839618	POGK	intronic	6	7	7	0	59	2.9	4	0	0.043
1.166839697	chr1	166839697	POGK	intronic	6	7	7	0	50	1.304	2	0	0.4025
1.16692479	chr1	16692479	ESPNP	ncRNA	6	5	7	1	38	3.018	0	0	0.68
1.16693384	chr1	16693384	ESPNP	ncRNA	4	5	5	0	8	0.1575	0	0	0.001
1.16699527	chr1	16699527	ESPNP	ncRNA	7	9	8	4	52	3.9975	4	0	0.334
1.167722117	chr1	167722117	MPZL1	UTR5	5	6	6	0	38	0.5215	0	0	0.0015
1.168136799	chr1	168136799	GPR161	UTR5	4	4	5	0	45	1.3765	0	0	0.499
1.168179021	chr1	168179021	TIPRL	UTR5	3	4	4	3	5	0.0165	0	0	0
1.169106620	chr1	169106620	ATP1B1	upstream	7	9	9	0	53	4.6345	12	0	0.4495
1.169485720	chr1	169485720	SLC19A2	exonic	5	6	6	4	13	0.105	0	0	0.0015
1.174022152	chr1	174022152	RC3H1	UTR5	8	9	9	0	53	1.283	1	0	0.0605
1.174159348	chr1	174159348	RABGAP1L->RABGAP1L-DT	upstream	4	5	5	0	29	0.295	0	0	0.0035
1.17438358	chr1	17438358	RCC2	exonic	6	7	7	2	54	1.0545	2	0	0.019
1.17438486	chr1	17438486	RCC2	exonic	4	5	5	4	16	0.102	0	0	0
1.17539708	chr1	17539708	ARHGEF10L	UTR5	4	5	5	0	42	0.6935	0	0	0.008
1.17539814	chr1	17539814	ARHGEF10L	UTR5	5	6	6	0	38	0.6495	0	0	0.483
1.176207212	chr1	176207212	COP1	UTR5	5	6	6	0	46	1.1285	0	0	0.0035
1.177171456	chr1	177171456	BRINP2	UTR5	9	10	10	5	12	0.067	0	0	0
1.178094013	chr1	178094013	RASAL2->RASAL2-AS1	upstream	4	5	5	0	33	0.7665	0	0	0.0045
1.178725259	chr1	178725259	RALGPS2	UTR5	11	13	13	0	53	2.948	8	0	0.038
1.178725342	chr1	178725342	RALGPS2	UTR5	3	4	5	0	28	0.557	0	0	0.4995
1.178725505	chr1	178725505	RALGPS2	intronic	4	5	5	0	54	2.8155	3	0	0.0205
1.179025970	chr1	179025970	FAM20B	UTR5	4	10	5	0	53	15.3205	171	0	0.1775
1.179229633	chr1	179229633	ABL2	UTR5	11	13	14	0	54	3.814	18	0	0.7365
1.180632069	chr1	180632069	XPR1	UTR5	3	4	4	0	9	0.0995	0	0	0.001
1.180632147	chr1	180632147	XPR1	UTR5	3	4	4	4	5	0.013	0	0	0
1.180913258	chr1	180913258	KIAA1614	exonic	3	4	4	3	25	0.1835	0	0	0.001
1.18108073	chr1	18108073	IGSF21	UTR5	4	5	5	1	5	0.3495	0	0	0.4355
1.181190020	chr1	181190020	LINC01732->LINC01699	intergenic	5	6	6	5	12	0.076	0	0	0
1.182839553	chr1	182839553	LOC647070	ncRNA	4	5	5	4	7	0.038	0	0	5e-04
1.182952866	chr1	182952866	SHCBP1L	exonic	6	7	7	4	24	0.2715	0	0	0.007
1.183023788	chr1	183023788	LAMC1	exonic	6	7	7	0	27	0.368	0	0	0.002
1.183472602	chr1	183472602	SMG7	UTR5	5	6	6	0	47	0.6205	0	0	0.0035
1.183805141	chr1	183805141	RGL1	UTR5	3	5	5	0	6	0.1895	0	0	0.007
1.184037420	chr1	184037420	COLGALT2	UTR5	3	4	4	2	5	0.05	0	0	5e-04
1.185045566	chr1	185045566	RNF2	UTR5	4	5	5	0	42	0.388	0	0	0.0115
1.185045790	chr1	185045790	RNF2	intronic	5	6	6	0	16	0.4595	0	0	0.009
1.185316801	chr1	185316801	IVNS1ABP	intronic	3	4	4	4	30	0.16	0	0	0
1.185317244	chr1	185317244	IVNS1ABP	upstream	5	6	6	0	23	0.2885	0	0	0.0015
1.185734415	chr1	185734415	HMCN1	UTR5	3	4	4	1	4	0.017	0	0	0
1.186680877	chr1	186680877	PACERR	ncRNA	4	5	5	4	5	0.02	0	0	0
1.18717037	chr1	18717037	PAX7	intronic	8	9	9	0	39	0.532	0	0	0.002
1.1890855	chr1	1890855	GNB1	UTR5	6	6	7	0	29	0.6415	0	0	0.5115
1.1891015	chr1	1891015	GNB1	UTR5	7	8	8	4	16	0.3145	0	0	0.0085
1.18955810	chr1	18955810	IFFO2	exonic	4	5	5	0	47	1.2405	0	0	0.0035
1.18956233	chr1	18956233	IFFO2	exonic	7	8	8	0	52	1.5445	2	0	0.01
1.19210212	chr1	19210212	UBR4	exonic	4	5	5	4	20	0.1865	0	0	0.003
1.193122152	chr1	193122152	CDC73	UTR5	5	6	6	4	17	0.101	0	0	0.0015
1.19485442	chr1	19485442	CAPZB	UTR5	5	6	6	0	21	0.296	0	0	0.003
1.198157567	chr1	198157567	NEK7	intronic	4	5	5	4	30	0.1575	0	0	0
1.19882643	chr1	19882643	OTUD3	exonic	6	7	7	0	53	0.4895	1	0	0.0025
1.200039391	chr1	200039391	NR5A2	intronic	5	6	6	0	16	0.2435	0	0	0.002
1.200409595	chr1	200409595	ZNF281	exonic	15	16	16	0	60	4.942	56	0	0.1205
1.200409951	chr1	200409951	ZNF281	UTR5	8	9	9	0	53	2.392	4	0	0.0135
1.200738941	chr1	200738941	CAMSAP2	upstream	5	7	6	0	53	2.042	4	0	0.237
1.200739621	chr1	200739621	CAMSAP2	UTR5	7	8	8	1	50	0.9975	1	0	0.1235
1.200873322	chr1	200873322	GPR25	exonic	5	6	6	0	18	0.2455	0	0	0.0015
1.201023489	chr1	201023489	KIF21B	UTR5	7	8	8	3	23	0.4885	0	0	0.004
1.201468767	chr1	201468767	PHLDA3	exonic	5	6	6	0	9	0.1455	0	0	5e-04
1.201648718	chr1	201648718	NAV1	exonic	3	4	4	0	36	0.4335	0	0	0.0025
1.201648818	chr1	201648818	NAV1	exonic	5	6	6	5	11	0.201	0	0	0.019
1.201829212	chr1	201829212	IPO9	exonic	4	5	5	4	8	0.055	0	0	5e-04
1.202097430	chr1	202097430	ELF3->GPR37L1	intergenic	11	12	12	4	50	1.692	6	0	0.0235
1.202144770	chr1	202144770	ARL8A	upstream	5	6	6	5	45	0.49	0	0	0.003
1.202193847	chr1	202193847	LGR6	upstream	5	6	6	0	43	0.682	0	0	0.005
1.203127680	chr1	203127680	ADORA1	upstream	5	6	6	2	10	0.1375	0	0	0.0055
1.204384789	chr1	204384789	LINC00628->PPP1R15B	intergenic	3	4	4	2	5	0.0125	0	0	0
1.204685273	chr1	204685273	LRRN2	intronic	4	5	5	0	18	0.1675	0	0	0.001
1.205001315	chr1	205001315	NFASC	intronic	9	9	10	9	11	0.0945	0	0	0.504
1.205043230	chr1	205043230	CNTN2	UTR5	9	10	10	6	21	0.1835	0	0	0.0015
1.205211471	chr1	205211471	DSTYK	exonic	3	4	4	4	6	0.0115	0	0	0
1.20552961	chr1	20552961	FAM43B	UTR5	3	4	4	1	4	0.017	0	0	0
1.205568903	chr1	205568903	MFSD4A-AS1	ncRNA	5	6	6	0	47	0.9325	0	0	0.0075
1.205631767	chr1	205631767	ELK4	UTR5	3	4	4	1	25	0.2755	0	0	0.001
1.20633507	chr1	20633507	PINK1	UTR5	4	4	5	0	6	0.171	0	0	0.502
1.206685332	chr1	206685332	MAPKAPK2	exonic	4	6	5	0	53	6.441	4	0	0.1935
1.206909362	chr1	206909362	FCMR	intronic	4	5	5	4	6	0.032	0	0	5e-04
1.20786667	chr1	20786667	HP1BP3	UTR5	5	6	6	0	54	0.4685	1	0	0.0015
1.208244300	chr1	208244300	PLXNA2	UTR5	12	11	11	0	24	0.3805	0	0	0.011
1.210232630	chr1	210232630	SERTAD4-AS1	ncRNA	4	5	6	0	45	1.72	0	0	0.637
1.210233604	chr1	210233604	SERTAD4-AS1	ncRNA	3	4	4	3	5	0.0295	0	0	0
1.211259639	chr1	211259639	RCOR3	exonic	6	7	7	0	28	0.397	0	0	0.004
1.211326810	chr1	211326810	TRAF5	intronic	4	5	5	0	35	0.624	0	0	0.003
1.211578905	chr1	211578905	SLC30A1	UTR5	5	6	6	1	28	0.301	0	0	0.001
1.21176227	chr1	21176227	EIF4G3	UTR5	17	18	18	4	61	2.996	30	0	0.5395
1.21176296	chr1	21176296	EIF4G3	UTR5	8	10	9	0	151	8.263	74	2	0.103
1.21176564	chr1	21176564	EIF4G3	intronic	15	16	16	1	66	4.376	97	0	0.061
1.211830843	chr1	211830843	LPGAT1-AS1	ncRNA	5	6	6	3	42	0.3965	0	0	0.001
1.212432961	chr1	212432961	NENF	exonic	5	6	6	0	18	0.263	0	0	0.0025
1.21290238	chr1	21290238	ECE1	intronic	4	5	5	0	31	0.356	0	0	0.0025
1.212951478	chr1	212951478	VASH2	UTR5	9	10	10	0	46	0.4815	0	0	0.005
1.213051378	chr1	213051378	RPS6KC1	UTR5	7	8	8	4	40	0.696	0	0	0.4955
1.214281131	chr1	214281131	SMYD2	upstream	3	4	4	1	20	0.4595	0	0	0.388
1.214281432	chr1	214281432	SMYD2	intronic	7	8	8	0	42	0.89	0	0	0.0205
1.21428304	chr1	21428304	ECE1->NBPF3	intergenic	3	4	4	0	9	0.0905	0	0	0.001
1.214870547	chr1	214870547	CENPF->KCNK2	intergenic	5	6	6	0	36	1.3265	0	0	0.0175
1.215083004	chr1	215083004	KCNK2	UTR5	9	10	10	0	29	0.9465	0	0	0.0195
1.215567572	chr1	215567572	KCTD3	UTR5	3	4	4	1	31	1.392	0	0	0.006
1.21651826	chr1	21651826	RAP1GAP	UTR5	4	5	5	2	37	0.305	0	0	0.0025
1.21669341	chr1	21669341	RAP1GAP	UTR5	3	4	4	0	11	0.16	0	0	0.0015
1.217135528	chr1	217135528	ESRRG	intronic	12	13	13	1	37	0.627	0	0	0.1515
1.217139699	chr1	217139699	ESRRG->GPATCH2	intergenic	4	5	5	0	13	0.1165	0	0	5e-04
1.21782991	chr1	21782991	USP48	UTR5	6	7	7	1	21	0.196	0	0	5e-04
1.220528229	chr1	220528229	MARK1	UTR5	5	6	6	0	30	0.5765	0	0	0.003
1.220528292	chr1	220528292	MARK1	UTR5	3	4	4	3	48	0.4435	0	0	0.003
1.220884517	chr1	220884517	HLX	exonic	4	5	5	4	8	0.0355	0	0	5e-04
1.220884603	chr1	220884603	HLX	exonic	4	5	5	4	6	0.023	0	0	0
1.22143123	chr1	22143123	WNT4	upstream	12	13	14	0	60	4.2385	12	0	0.584
1.2228000	chr1	2228000	SKI	upstream	3	4	4	0	50	3.982	4	0	0.069
1.2228088	chr1	2228088	SKI	upstream	3	4	4	0	40	1.0425	0	0	0.0195
1.2228263	chr1	2228263	SKI	upstream	4	6	5	0	57	3.884	8	0	0.0555
1.2228504	chr1	2228504	SKI	UTR5	3	4	4	0	50	2.3865	1	0	0.019
1.2229006	chr1	2229006	SKI	exonic	3	4	4	3	7	0.0625	0	0	0.001
1.223364322	chr1	223364322	SUSD4	upstream	4	5	5	0	41	1.907	0	0	0.046
1.223845786	chr1	223845786	TP53BP2	UTR5	8	9	9	0	50	1.097	1	0	0.014
1.224183257	chr1	224183257	DEGS1	UTR5	5	6	6	0	27	0.3395	0	0	0.009
1.224434685	chr1	224434685	WDR26	UTR5	7	8	8	0	64	2.554	4	0	0.045
1.224616328	chr1	224616328	CNIH3	UTR5	8	9	9	6	25	0.697	0	0	0.0095
1.22563455	chr1	22563455	EPHA8	upstream	6	7	7	0	60	1.9685	3	0	0.0345
1.22563682	chr1	22563682	EPHA8	exonic	6	7	7	0	47	1.7735	0	0	0.021
1.22563734	chr1	22563734	EPHA8	intronic	4	5	5	0	50	2.5285	4	0	0.0235
1.225653330	chr1	225653330	ENAH	upstream	6	7	7	0	51	1.154	3	0	0.0215
1.225882306	chr1	225882306	TMEM63A	UTR5	3	4	4	4	12	0.0565	0	0	0
1.226062977	chr1	226062977	H3P6	ncRNA	3	4	4	4	22	0.113	0	0	0
1.226125971	chr1	226125971	LINC01703->ACBD3	intergenic	8	9	9	4	24	0.546	0	0	0.093
1.226548933	chr1	226548933	STUM	exonic	10	11	11	2	40	0.496	0	0	0.004
1.227318200	chr1	227318200	CDC42BPA	UTR5	3	4	4	0	55	1.8655	2	0	0.0195
1.227947939	chr1	227947939	WNT9A	upstream	5	6	6	0	40	0.864	0	0	0.0155
1.228006819	chr1	228006819	WNT3A	upstream	3	4	4	2	27	0.7585	0	0	0.007
1.2280580	chr1	2280580	SKI	intronic	4	8	5	4	54	10.7175	26	0	0.1465
1.2280623	chr1	2280623	SKI	intronic	4	5	5	2	44	3.2785	0	0	0.1025
1.2280666	chr1	2280666	SKI	intronic	4	6	5	1	44	4.1725	0	0	0.1845
1.2280709	chr1	2280709	SKI	intronic	4	6	6	1	48	6.4375	0	0	0.5765
1.228082876	chr1	228082876	ARF1	intronic	4	5	5	0	42	0.8545	0	0	0.0735
1.2280839	chr1	2280839	SKI	intronic	4	6	6	0	47	5.505	0	0	0.7755
1.2280882	chr1	2280882	SKI	intronic	4	6	6	0	100	5.5645	1	1	0.7625
1.2280925	chr1	2280925	SKI	intronic	4	6	6	0	50	5.7175	1	0	0.762
1.2280968	chr1	2280968	SKI	intronic	4	6	6	0	46	4.3435	0	0	0.775
1.2281011	chr1	2281011	SKI	intronic	4	6	5	1	45	3.4205	0	0	0.2645
1.2281054	chr1	2281054	SKI	intronic	4	5	5	1	40	1.392	0	0	0.119
1.229625913	chr1	229625913	TAF5L	UTR5	5	6	6	1	56	3.3775	23	0	0.017
1.229626016	chr1	229626016	TAF5L	UTR5	6	7	7	0	53	3.4155	7	0	0.145
1.229626278	chr1	229626278	URB2	UTR5	6	7	7	0	52	1.592	1	0	0.005
1.23019614	chr1	23019614	KDM1A	exonic	10	11	11	2	150	2.306	2	2	0.004
1.23020018	chr1	23020018	KDM1A	intronic	3	4	4	3	5	0.021	0	0	0
1.230426223	chr1	230426223	PGBD5	UTR5	14	15	15	0	49	2.143	0	0	0.025
1.230978612	chr1	230978612	TTC13	exonic	3	4	4	3	7	0.061	0	0	5e-04
1.231163149	chr1	231163149	TRIM67	exonic	5	6	6	5	48	0.444	0	0	0.001
1.231163725	chr1	231163725	TRIM67	exonic	7	8	8	4	30	0.2385	0	0	0.0025
1.231337396	chr1	231337396	EXOC8	exonic	3	4	4	0	9	0.241	0	0	0.0205
1.231421889	chr1	231421889	EGLN1	UTR5	11	12	12	0	31	0.5305	0	0	0.004
1.231422205	chr1	231422205	EGLN1	UTR5	4	5	5	0	35	0.461	0	0	0.002
1.231626906	chr1	231626906	DISC1	exonic	4	5	5	0	19	0.278	0	0	0.0035
1.23168738	chr1	23168738	LUZP1	intronic	4	5	5	0	43	1.6365	0	0	0.007
1.232629634	chr1	232629634	SIPA1L2	intronic	3	4	4	1	6	0.041	0	0	5e-04
1.233295585	chr1	233295585	PCNX2	UTR5	10	11	11	0	27	0.661	0	0	0.0055
1.234609040	chr1	234609040	IRF2BP2	exonic	7	8	8	7	10	0.0335	0	0	0
1.234609545	chr1	234609545	IRF2BP2	upstream	4	5	5	1	58	3.0635	34	0	0.0695
1.234609614	chr1	234609614	IRF2BP2	upstream	12	14	13	2	58	4.9645	81	0	0.068
1.234610125	chr1	234610125	IRF2BP2	upstream	12	13	13	0	57	1.695	9	0	0.0095
1.235866898	chr1	235866898	LYST	UTR5	8	9	9	0	50	1.0325	1	0	0.007
1.236142595	chr1	236142595	GPR137B	UTR5	5	6	6	0	52	1.3555	1	0	0.006
1.23619569	chr1	23619569	ID3->MDS2	intergenic	7	7	7	4	24	1.2685	0	0	0.5495
1.237042459	chr1	237042459	RYR2	UTR5	5	6	6	0	13	0.211	0	0	0.0015
1.23903080	chr1	23903080	CNR2	intronic	6	8	8	0	41	0.4605	0	0	0.0055
1.240091777	chr1	240091777	FMN2	upstream	4	5	5	0	47	0.8765	0	0	0.004
1.240092269	chr1	240092269	FMN2	exonic	5	5	5	4	47	1.5495	0	0	0.245
1.240492906	chr1	240492906	GREM2	UTR3	4	5	5	0	27	0.271	0	0	0.0015
